navio,classe,prioridade,urgencia,score_urgencia,fatores_considerados,taxa_deterioracao_mes,aumento_percentual,consumo_medio_ton_nm,r2,score_iws_medio,score_iws_max,dias_sem_docagem,ultima_docagem,anos_sem_docagem,custo_limpeza_estimado,custo_combustivel_extra_6meses,consumo_extra_mensal_ton,roi_percentual,economia_anual_estimada,payback_meses,recomendacao,prazo_sugerido_dias
ROMARIO SILVA,MR 2,3,MODERADA,2.5,Bioincrustação moderada; Tempo sem docagem alto,-0.000474,-13.03,0.1035,0.002,0.45,0.45,927,2023-05-18,2.54,300000,0.0,0.0,-100.0,0.0,,"🟡 **LIMPEZA RECOMENDADA**

O ROMARIO SILVA apresenta sinais de deterioração moderada. Recomenda-se planejar limpeza nos próximos 60-90 dias.

**Indicadores:**
• Última docagem: 2.5 anos atrás
• Score de bioincrustação: 45.0%
• ROI estimado: -100.0%",75.0
GISELLE CARVALHO,Suezmax,4,BAIXA,1.0,Bioincrustação moderada,-0.005973,-23.87,0.157,0.0117,0.325,0.325,253,2025-03-22,0.69,500000,0.0,0.0,-100.0,0.0,,"🟢 **MONITORAMENTO ATIVO**

O GISELLE CARVALHO apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 0.7 anos atrás
• Score de bioincrustação: 32.5%
• ROI estimado: -100.0%",105.0
MARIA VALENTINA,Gaseiro 7k,4,BAIXA,2.0,Muito tempo sem docagem,0.000153,12.33,0.0563,0.0018,0.0,0.0,1312,2022-04-28,3.59,200000,27540.0,9.18,65.24,330480.0,7.26,"🟢 **MONITORAMENTO ATIVO**

O MARIA VALENTINA apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 3.6 anos atrás
• Taxa de deterioração: 0.000153 ton/nm/mês
• Score de bioincrustação: 0.0%
• Aumento de consumo: +12.3%
• ROI estimado: 65.2%
• Payback: 7.3 meses",105.0
MARCOS CAVALCANTI,Suezmax,4,BAIXA,2.0,Muito tempo sem docagem,7.3e-05,2.22,0.1834,0.0001,0.225,0.225,1667,2021-05-08,4.57,500000,13140.0,4.38,-68.46,157680.0,38.05,"🟢 **MONITORAMENTO ATIVO**

O MARCOS CAVALCANTI apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 4.6 anos atrás
• Taxa de deterioração: 0.000073 ton/nm/mês
• Score de bioincrustação: 22.5%
• Aumento de consumo: +2.2%
• ROI estimado: -68.5%
• Payback: 38.0 meses",105.0
FÁBIO SANTOS,Gaseiro 7k,4,BAIXA,2.0,Muito tempo sem docagem,1.4e-05,1.45,0.0463,0.0,0.0,0.0,1390,2022-02-09,3.81,200000,2520.0,0.84,-84.88,30240.0,79.37,"🟢 **MONITORAMENTO ATIVO**

O FÁBIO SANTOS apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 3.8 anos atrás
• Taxa de deterioração: 0.000014 ton/nm/mês
• Score de bioincrustação: 0.0%
• Aumento de consumo: +1.4%
• ROI estimado: -84.9%
• Payback: 79.4 meses",105.0
GABRIELA MARTINS,Aframax,4,BAIXA,2.0,Taxa deterioração alta,0.001066,14.89,0.1504,0.0024,,,596,2024-04-13,1.63,400000,191880.0,63.96,475.64,2302560.0,2.08,"🟢 **MONITORAMENTO ATIVO**

O GABRIELA MARTINS apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 1.6 anos atrás
• Taxa de deterioração: 0.001066 ton/nm/mês
• Aumento de consumo: +14.9%
• ROI estimado: 475.6%
• Payback: 2.1 meses",105.0
RAUL MARTINS,Suezmax,4,BAIXA,1.0,Bioincrustação moderada,-0.007011,-21.75,0.1898,0.0089,0.312,0.425,204,2025-05-10,0.56,500000,0.0,0.0,-100.0,0.0,,"🟢 **MONITORAMENTO ATIVO**

O RAUL MARTINS apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 0.6 anos atrás
• Score de bioincrustação: 31.2%
• ROI estimado: -100.0%",105.0
LUCAS MENDONÇA,MR 2,4,BAIXA,1.0,Tempo sem docagem moderado,-0.002871,-41.9,0.1176,0.0234,,,656,2024-02-13,1.8,300000,0.0,0.0,-100.0,0.0,,"🟢 **MONITORAMENTO ATIVO**

O LUCAS MENDONÇA apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 1.8 anos atrás
• ROI estimado: -100.0%",105.0
VICTOR OLIVEIRA,Suezmax,4,BAIXA,1.0,Tempo sem docagem moderado,0.000227,4.29,0.1574,0.0004,,,884,2023-06-30,2.42,500000,40860.0,13.62,-1.94,490320.0,12.24,"🟢 **MONITORAMENTO ATIVO**

O VICTOR OLIVEIRA apresenta deterioração leve. Recomenda-se monitorar e planejar limpeza preventiva nos próximos 90-120 dias.

**Indicadores:**
• Última docagem: 2.4 anos atrás
• Taxa de deterioração: 0.000227 ton/nm/mês
• Aumento de consumo: +4.3%
• ROI estimado: -1.9%
• Payback: 12.2 meses",105.0
RODRIGO PINHEIRO,Aframax,5,NÃO URGENTE,0.0,,-0.000168,-2.08,0.1187,0.0,,,461,2024-08-26,1.26,400000,0.0,0.0,-100.0,0.0,,"✅ **SITUAÇÃO ESTÁVEL**

O RODRIGO PINHEIRO não apresenta sinais críticos de deterioração. Manter monitoramento regular.

**Indicadores:**
• Última docagem: 1.3 anos atrás
• ROI estimado: -100.0%",
RICARDO BARBOSA,Gaseiro 7k,5,NÃO URGENTE,0.0,,8.7e-05,9.15,0.0485,0.0012,,,55,2025-10-06,0.15,200000,15660.0,5.22,-6.04,187920.0,12.77,"✅ **SITUAÇÃO ESTÁVEL**

O RICARDO BARBOSA não apresenta sinais críticos de deterioração. Manter monitoramento regular.

**Indicadores:**
• Última docagem: 0.2 anos atrás
• Taxa de deterioração: 0.000087 ton/nm/mês
• Aumento de consumo: +9.2%
• ROI estimado: -6.0%
• Payback: 12.8 meses",
